company_name,company_number,company_status,company_type,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,SICCODE_1,SICCODE_2,SICCODE_3,Value
INVITING INNS LIMITED,7852698,dissolved,ltd,01-09-2015,18-11-2011,['56302'],,The King George Moss Lane,Altrincham,WA15 8BA,Hale,Cheshire,,56302,,,,TRUE
ANCIENT & IMPERIAL PUB COMPANY LIMITED,7850053,dissolved,ltd,16-04-2019,16-11-2011,['56302'],,Reedham House,Manchester,M3 2PJ,31 King Street West,Lancashire,,56302,,,,TRUE
CHIPPENHAM LEISURE LTD,7850977,dissolved,ltd,23-12-2014,17-11-2011,['56302'],,22 Market Place,Chippenham,SN15 3HW,,,England,56302,,,,TRUE
H & H TAVERN LTD,7855248,dissolved,ltd,26-09-2017,21-11-2011,['56302'],,157 Waterloo Road,Wokingham,RG40 2JN,,Berkshire,,56302,,,,TRUE
PAC MAC LTD,7856494,dissolved,ltd,03-03-2015,22-11-2011,['56302'],,The Brick Kiln Public House Norwich Road,Norwich,NR13 5JH,Little Plumstead,Norfolk,,56302,,,,TRUE
RIDGE AND FURROW INNS LTD,7856573,dissolved,ltd,01-07-2019,22-11-2011,['56302'],,WILSON FIELD LTD,Sheffield,S11 9PS,The Manor House 260 Ecclesall Road South,,,56302,,,,TRUE
BOOTH LEISURE LTD,7854700,dissolved,ltd,05-11-2020,21-11-2011,['56302'],,Bulman House Regent Centre,Newcastle Upon Tyne,NE3 3LS,Gosforth,,,56302,,,,TRUE
THE TALBOT INN GRETTON LTD,7855555,dissolved,ltd,16-06-2015,21-11-2011,['56302'],,Federation House,Kettering,NN16 8JS,36/38 Rockingham Road,Northants,,56302,,,,TRUE
HILLARY AND SCOTT LIMITED,7856681,active,ltd,,22-11-2011,['56302'],,Four Alls York House,Market Drayton,TF9 2AG,Woodseaves,,England,56302,,,,TRUE
THE NEW IVY LEAF CLUB LTD,7806175,receivership,private-limited-guarant-nsc,,11-10-2011,['56301'],,38a Suffolk Street,Sunderland,SR2 8JZ,,Tyne And Wear,,56301,,,,TRUE
FRIAR PARK SOCIAL CLUB LTD,7825728,dissolved,private-limited-guarant-nsc,17-10-2017,27-10-2011,['56301'],,334 Adams Hill,Birmingham,B32 3PD,,West Midlands,,56301,,,,TRUE
MAD STAR LTD,7845337,dissolved,ltd,28-10-2014,11-11-2011,['56301'],,One Great Cumberland Place,London,W1H 7LW,Marble Arch,,,56301,,,,TRUE
DELIGHTFULLY LTD,7805488,dissolved,ltd,28-03-2017,11-10-2011,['56103'],,49 High Street,Saffron Walden,CB10 1AR,,Essex,,56103,,,,TRUE
KASABA LTD,7804844,dissolved,ltd,17-11-2020,11-10-2011,['56103'],,8 The Broadway,St. Ives,PE27 5BN,,Cambridgeshire,,56103,,,,TRUE
SANTOS KEBAB HOUSE LTD,7803769,dissolved,ltd,15-09-2015,10-10-2011,['56103'],,22 Bury Old Road,Salford,M7 4QJ,,,,56103,,,,TRUE
TM STAR LONDON LIMITED,7804352,dissolved,ltd,18-12-2018,10-10-2011,['56103'],,103 Kenton Road,Harrow,HA3 0AN,,Middlesex,,56103,,,,TRUE
LH (DEVON) LTD,7804956,dissolved,ltd,17-02-2015,11-10-2011,['56103'],,Winston Churchill House,Birmingham,B2 4BG,Ethel Street,West Midlands,,56103,,,,TRUE
KC (BOLTON) LIMITED,7805172,dissolved,ltd,22-03-2016,11-10-2011,['56103'],,90-92 Bradshawgate,Bolton,BL1 1QQ,,,,56103,,,,TRUE
MINOX LTD,7807375,dissolved,ltd,26-01-2016,12-10-2011,['56103'],,C/O 174 Bounces Road,London,N9 8LA,,,,56103,,,,TRUE
S P (HANTS) LIMITED,7807044,dissolved,ltd,31-01-2017,12-10-2011,['56103'],,19 Garbett Road,Winchester,SO23 0NY,Winnall,Hampshire,,56103,,,,TRUE
CK FOODS LTD,7805844,dissolved,ltd,12-09-2017,11-10-2011,['56103'],,13 Wendover Road,Birmingham,B65 8LU,Rowley Regis,,,56103,,,,TRUE
ALHAS LIMITED,7808569,dissolved,ltd,26-05-2015,13-10-2011,['56103'],,10 James Reckitt Avenue,Hull,HU8 7TP,,,,56103,,,,TRUE
H & A GUILDFORD LIMITED,7808860,dissolved,ltd,19-05-2015,13-10-2011,['56103'],,7 Westmoreland House,London,NW10 6RE,Scrubs Lane,,,56103,,,,TRUE
BEXMILL LIMITED,7808863,dissolved,ltd,28-03-2017,13-10-2011,['56103'],,25 Hanbury Road,Newport,CF81 8QT,Bargoed,Cardiff,,56103,,,,TRUE
